internship_title,company_name,location,start_date,duration,stipend
Java Development,SunbaseData,Work From Home,Immediately,6 Months,"₹ 30,000 /month"
Accounting and Finance,DAKSM & Co. LLP,Noida,Immediately,6 Months,"₹ 5,000-10,000 /month"
Sales & Digital Marketing,Bharat Natural Elements Private Limited,Bangalore,Immediately,6 Months,"₹ 5,000 /month"
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,6 Months,Unpaid
Videography & Photography,Esquare Lifestyle,Bangalore,Immediately,6 Months,"₹ 12,000 /month"
English Curriculum Writing,Team Everest,Work From Home,Immediately,6 Months,Unpaid
Search Engine Optimization,Global Trend,Work From Home,Immediately,6 Months,"₹ 5,000 /month"
Digital Dreamweaver,Global Trend,Work From Home,Immediately,6 Months,"₹ 7,000 /month"
Graphic Design,Expedify,Work From Home,Immediately,6 Months,"₹ 10,000-15,000 /month"
Campus Ambassador,Internshala,Work From Home,Not specified,6 Months,"₹ 2000"
Customer Support,ClearTax,Bangalore,Immediately,6 Months,"₹ 30,000 /month"
Web Development,TechCorp,Mumbai,Immediately,6 Months,"₹ 25,000 /month"
Python Development,DevCorp,Work From Home,Immediately,6 Months,"₹ 35,000 /month"
UI/UX Design,DesignStudio,Pune,Immediately,6 Months,"₹ 20,000 /month"
Content Writing,MediaHouse,Work From Home,Immediately,6 Months,"₹ 15,000 /month"
